Image type,Image index,Memorability score,Distinctiveness,Reconstruction error
Target,1,0.374705882352941,11766.494140625,0.05850940475075073
Target,2,0.372222222222222,23878.486328125,0.3205801931071421
Target,3,0.749417249417249,20355.103515625,0.20585044094887564
Target,4,0.310180456247872,17733.19921875,0.12042546324248612
Target,5,0.354863221884498,19333.486328125,0.17799190953182426
Target,6,0.69718137254902,23092.427734375,0.137990774966278
Target,7,0.558377425044092,19844.958984375,0.15443704726213428
Target,8,0.441352739726027,14278.9462890625,0.1171019253945173
Target,9,0.305472138805472,13298.91015625,0.08850366541153176
Target,10,0.504367980032091,18157.6484375,0.13079690093387503
Target,11,0.681212121212121,20313.005859375,0.16391889216060906
Target,12,0.380056724884311,11026.4794921875,0.05644891969141596
Target,13,0.500937766410912,17436.3515625,0.11525176379943348
Target,14,0.445212959592282,16553.734375,0.11266726330252462
Target,15,0.560606060606061,19155.0390625,0.09595324131052722
Target,16,0.742673992673993,11333.357421875,0.05474306261638166
Target,17,0.642735042735043,18946.03125,0.12427950645570704
Target,18,0.506521739130435,19122.4765625,0.10491404376490143
Target,19,0.639987686624596,20215.732421875,0.12904488278093715
Target,20,0.380192977753953,19172.92578125,0.15182493053752558
Target,21,0.441666666666667,15052.3115234375,0.06721466801371995
Target,22,0.64174053182917,22526.015625,0.22473975239416621
Target,23,0.828550222662048,12010.4443359375,0.06033287341321589
Target,24,0.498842592592593,20591.466796875,0.13152881701291402
Target,25,0.430735930735931,11718.6142578125,0.07206330198101882
Target,26,0.606338297059947,21653.494140625,0.15952219129130876
Target,27,0.76,15488.62890625,0.09553380201648673
Target,28,0.511321091103584,15225.755859375,0.07592238491383355
Target,29,0.416666666666667,21901.794921875,0.1271420325340096
Target,30,0.63849590469099,16860.271484375,0.08726856573375617
Target,31,0.538886400955366,15407.6748046875,0.07855925843548135
Target,32,0.421534936998855,16271.4716796875,0.09131269870012462
Target,33,0.607851918196746,22126.12109375,0.20456252683060008
Target,34,0.674373379429559,18094.794921875,0.09084429197269668
Target,35,0.666438668490652,12536.2275390625,0.05333080561536481
Target,36,0.267450980392157,19001.9375,0.16356204356810244
Target,37,0.462218294299602,16398.203125,0.11393710482067398
Target,38,0.421009882225531,14151.8349609375,0.0555582727506826
Target,39,0.462642465175179,15154.857421875,0.07068896671149803
Target,40,0.305667337357478,15562.5166015625,0.08525417472972374
Target,41,0.598863636363636,24971.42578125,0.17042375624078956
Target,42,0.551936527821276,26221.7109375,0.22505845445808462
Target,43,0.421732522796353,23596.671875,0.2005682517359612
Target,44,0.590932117527862,17655.779296875,0.15713851346702062
Target,45,0.593910491562729,15630.45703125,0.10364871568775767
Target,46,0.304945054945055,24864.25,0.18548501769330167
Target,47,0.694901960784314,16760.521484375,0.09168911409119704
Target,48,0.660734787600459,20192.630859375,0.15339096482134518
Target,49,0.48562091503268,15809.69921875,0.11040656033261476
Target,50,0.531335616438356,17816.541015625,0.0978430282944593
Target,51,0.53299276287782,21951.822265625,0.1605467026843953
Target,52,0.450914634146341,17240.236328125,0.08772999037078665
Target,53,0.455112927023039,14543.5888671875,0.09391771140067447
Target,54,0.54605859257022,19760.748046875,0.18183350016893435
Target,55,0.631172839506173,18298.212890625,0.1065543908825042
Target,56,0.629166666666667,20671.515625,0.186403214291226
Target,57,0.702205882352941,11712.1328125,0.04600748482536439
Target,58,0.53209549071618,14628.673828125,0.0628833160677828
Target,59,0.529470529470529,18145.248046875,0.11775370619136562
Target,60,0.794771241830065,18730.046875,0.1451633965555015
Target,61,0.704607046070461,22006.375,0.14098109893027055
Target,62,0.727703455964326,21199.49609375,0.22438663908465642
Target,63,0.407428015022952,19289.828125,0.17036161812925513
Target,64,0.404537990744887,20879.8046875,0.1221924319102621
Target,65,0.677382319173364,16818.5859375,0.09620243861842252
Target,66,0.450114591291062,16075.12890625,0.10198350798927458
Target,67,0.423837209302326,14918.8330078125,0.07502607040694192
Target,68,0.319762323943662,18776.5703125,0.1258406395518192
Target,69,0.540173217854763,19176.7890625,0.1503263692661123
Target,70,0.510049751243781,13817.6748046875,0.06077284283310606
Target,71,0.454689298043728,17196.619140625,0.11520433402783055
